name,kind,sidocode,sido,sigungucode,sigungu,dongcode,dong,jibuncode,jibun,jibunaddr,doro,doroaddr,gyundo,wido
하나은행,음식,11,서울특별시,11650,서초구,1165010700,반포동,1.17E+18,66,서울특별시 서초구 반포동 66-1번지 ,서울특별시 서초구 사평대로,"서울특별시 서초구 사평대로 140, (반포동)",126.9996265,37.50022131
생수음악학원,학문/교육,11,서울특별시,11740,강동구,1174010200,고덕동,1.17E+18,503,서울특별시 강동구 고덕동 503-5번지 ,서울특별시 강동구 동남로81길,"서울특별시 강동구 동남로81길 26, (고덕동)",127.155259,37.560375
스페셜리스트,소매,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,506,서울특별시 강남구 대치동 506번지 선경2차 ,서울특별시 강남구 삼성로,"서울특별시 강남구 삼성로 151, (대치동, 선경2차)",127.0629809,37.49314492
금성카센타,생활서비스,11,서울특별시,11260,중랑구,1126010300,중화동,1.13E+18,209,서울특별시 중랑구 중화동 209-10번지 ,서울특별시 중랑구 중랑천로,"서울특별시 중랑구 중랑천로 94, (중화동)",127.0728398,37.59383411
김양복점,소매,11,서울특별시,11650,서초구,1165010700,반포동,1.17E+18,1053,서울특별시 서초구 반포동 1053번지 ,서울특별시 서초구 신반포로,"서울특별시 서초구 신반포로 22, (반포동)",126.9871619,37.50116032
세창정형제화,소매,11,서울특별시,11740,강동구,1174010900,천호동,1.17E+18,334,서울특별시 강동구 천호동 334-2번지 ,서울특별시 강동구 올림픽로,"서울특별시 강동구 올림픽로 689, (천호동)",127.1246872,37.54293317
민경인테리어,소매,11,서울특별시,11710,송파구,1171011200,오금동,1.17E+18,2,서울특별시 송파구 오금동 2번지 대림아파트 ,서울특별시 송파구 위례성대로,"서울특별시 송파구 위례성대로 176, (오금동, 대림아파트)",127.1286359,37.51089374
명동칼국수,음식,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,897,서울특별시 강남구 대치동 897번지 ,서울특별시 강남구 선릉로,"서울특별시 강남구 선릉로 424, (대치동)",127.0500447,37.50289917
테마노래방,관광/여가/오락,11,서울특별시,11590,동작구,1159010100,노량진동,1.16E+18,231,서울특별시 동작구 노량진동 231-115번지 ,서울특별시 동작구 장승배기로,"서울특별시 동작구 장승배기로 135, (노량진동)",126.9399596,37.50965752
리빙캐슬,학문/교육,11,서울특별시,11590,동작구,1159010100,노량진동,1.16E+18,27,서울특별시 동작구 노량진동 27-11번지 ,서울특별시 동작구 노량진로,"서울특별시 동작구 노량진로 92, (노량진동)",126.9360094,37.51302796
새아랑피아노,학문/교육,11,서울특별시,11260,중랑구,1126010600,신내동,1.13E+18,657,서울특별시 중랑구 신내동 657번지 신내진흥아파트 ,서울특별시 중랑구 신내로,"서울특별시 중랑구 신내로 127, (신내동, 신내진흥아파트)",127.0956323,37.61086048
청소년을위한사랑의바이올린,학문/교육,11,서울특별시,11650,서초구,1165010800,서초동,1.17E+18,1451,서울특별시 서초구 서초동 1451-1번지 ,서울특별시 서초구 반포대로,"서울특별시 서초구 반포대로 32, (서초동)",127.0121072,37.48343156
스카이에듀학원,학문/교육,11,서울특별시,11710,송파구,1171011100,방이동,1.17E+18,149,서울특별시 송파구 방이동 149-13번지 ,서울특별시 송파구 백제고분로50길,"서울특별시 송파구 백제고분로50길 4, (방이동)",127.1152489,37.51425429
아이폰,생활서비스,11,서울특별시,11290,성북구,1129010900,동소문동6가,1.13E+18,7,서울특별시 성북구 동소문동6가 7-2번지 ,서울특별시 성북구 동소문로15길,"서울특별시 성북구 동소문로15길 1, (동소문동6가)",127.0138737,37.59235602
애니벅스,학문/교육,11,서울특별시,11215,광진구,1121510700,화양동,1.12E+18,111,서울특별시 광진구 화양동 111-94,서울특별시 광진구 능동로,서울특별시 광진구 능동로 172,127.0736946,37.54585103
평화문구,소매,11,서울특별시,11710,송파구,1171010400,송파동,1.17E+18,40,서울특별시 송파구 송파동 40번지 ,서울특별시 송파구 백제고분로45길,"서울특별시 송파구 백제고분로45길 21, (송파동)",127.1091365,37.50983821
휴먼인쇄광고,생활서비스,11,서울특별시,11680,강남구,1168010100,역삼동,1.17E+18,827,서울특별시 강남구 역삼동 827-11번지 ,서울특별시 강남구 강남대로84길,"서울특별시 강남구 강남대로84길 24-10, (역삼동)",127.0307555,37.49633597
선경식당,음식,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,506,서울특별시 강남구 대치동 506번지 선경2차 ,서울특별시 강남구 삼성로,"서울특별시 강남구 삼성로 151, (대치동, 선경2차)",127.0629809,37.49314492
현대자동차남서울대리점,소매,11,서울특별시,11680,강남구,1168010100,역삼동,1.17E+18,694,서울특별시 강남구 역삼동 694-9번지 ,서울특별시 강남구 선릉로,"서울특별시 강남구 선릉로 531, (역삼동)",127.0469082,37.50673943
태림상사,소매,11,서울특별시,11710,송파구,1171011200,오금동,1.17E+18,119,서울특별시 송파구 오금동 119-3번지 ,서울특별시 송파구 동남로30길,"서울특별시 송파구 동남로30길 12, (오금동)",127.1400801,37.50423767
구립잠실어린이집,학문/교육,11,서울특별시,11710,송파구,1171010200,신천동,1.17E+18,17,서울특별시 송파구 신천동 17-1번지 ,서울특별시 송파구 올림픽로33길,"서울특별시 송파구 올림픽로33길 71, (신천동)",127.1065034,37.5229197
티월드,소매,11,서울특별시,11680,강남구,1168010600,대치동,1.17E+18,1021,서울특별시 강남구 대치동 1021-9번지 ,서울특별시 강남구 도곡로,"서울특별시 강남구 도곡로 462, (대치동)",127.0607424,37.49851547
우리장례지도사,학문/교육,11,서울특별시,11215,광진구,1121510100,중곡동,1.12E+18,647,서울특별시 광진구 중곡동 647-19번지 ,서울특별시 광진구 능동로,"서울특별시 광진구 능동로 327-1, (중곡동)",127.0802322,37.55902143
올수,학문/교육,11,서울특별시,11710,송파구,1171011200,오금동,1.17E+18,8,서울특별시 송파구 오금동 8-5번지 ,서울특별시 송파구 위례성대로22길,"서울특별시 송파구 위례성대로22길 6, (오금동)",127.1311042,37.5097045
장터생선구이,음식,11,서울특별시,11440,마포구,1144010200,공덕동,1.14E+18,256,서울특별시 마포구 공덕동 256-5번지 ,서울특별시 마포구 마포대로6길,"서울특별시 마포구 마포대로6길 10, (공덕동)",126.9531704,37.54530357
수야,생활서비스,11,서울특별시,11110,종로구,1111015800,예지동,1.11E+18,269,서울특별시 종로구 예지동 269-23번지 ,서울특별시 종로구 청계천로,"서울특별시 종로구 청계천로 197-1, (예지동)",126.9995381,37.56951113
신한편의점,소매,11,서울특별시,11545,금천구,1154510100,가산동,1.15E+18,371,서울특별시 금천구 가산동 371-59번지 ,서울특별시 금천구 가산디지털1로,"서울특별시 금천구 가산디지털1로 149, (가산동)",126.8818415,37.4787294
삼익공사,생활서비스,11,서울특별시,11740,강동구,1174010900,천호동,1.17E+18,106,서울특별시 강동구 천호동 106-8번지 ,서울특별시 강동구 천중로29길,"서울특별시 강동구 천중로29길 23, (천호동)",127.1366232,37.5431562
눈높이,학문/교육,11,서울특별시,11740,강동구,1174010900,천호동,1.17E+18,47,서울특별시 강동구 천호동 47-20번지 ,서울특별시 강동구 양재대로123길,"서울특별시 강동구 양재대로123길 56, (천호동)",127.1389664,37.54407437
에넥스잠실전시장,소매,11,서울특별시,11710,송파구,1171010100,잠실동,1.17E+18,228,서울특별시 송파구 잠실동 228-8번지 ,서울특별시 송파구 백제고분로,"서울특별시 송파구 백제고분로 135, (잠실동)",127.0819991,37.50630552
